amount,time,category,age,location,previous_trans,is_fraud
117.75,15,entertainment,43,Houston,14,0
50.02,10,dining,59,Dallas,19,0
3.99,9,utilities,79,San Diego,10,0
48.86,7,gas,78,San Jose,13,0
20.86,0,groceries,79,Los Angeles,18,0
14.7,9,entertainment,29,Houston,14,0
68.99,17,groceries,44,Houston,13,0
114.11,2,groceries,84,Los Angeles,8,0
101.24,10,gas,45,Los Angeles,7,0
12.1,17,entertainment,83,Phoenix,13,0
22.85,2,entertainment,45,Houston,13,0
49.28,7,gas,38,San Diego,13,0
106.77,13,gas,24,Houston,22,0
18.63,5,utilities,31,San Diego,24,0
26.5,14,dining,56,Phoenix,15,0
8.78,13,dining,90,New York,17,0
7.88,6,gas,79,Dallas,10,0
87.8,9,travel,29,San Diego,23,0
168.59,14,groceries,55,New York,12,0
30.37,9,dining,75,Chicago,16,0
110.41,21,electronics,73,Chicago,11,0
51.11,16,gas,56,Phoenix,24,0
15.27,18,gas,21,San Antonio,13,0
51.09,16,utilities,65,New York,10,0
209.69,11,gas,24,New York,13,0
31.72,14,utilities,77,San Jose,20,0
216.5,11,travel,57,Philadelphia,8,0
1.43,8,travel,25,Phoenix,14,0
88.79,4,gas,75,Chicago,23,0
36.76,3,groceries,74,Chicago,18,0
23.13,11,utilities,52,Houston,8,0
36.97,15,utilities,90,San Jose,21,0
3.05,8,electronics,30,Los Angeles,12,0
25.44,2,groceries,56,Dallas,12,0
50.83,20,groceries,38,Houston,13,0
195.09,2,dining,64,San Jose,11,0
17.78,17,travel,19,Chicago,22,0
12.55,16,dining,61,San Jose,17,0
18.14,9,groceries,47,San Antonio,15,0
99.33,1,gas,72,Dallas,15,0
49.13,23,electronics,57,Los Angeles,16,1
17.54,10,gas,41,Philadelphia,18,0
61.31,23,gas,59,Phoenix,17,0
37.21,2,groceries,45,New York,16,0
105.89,22,dining,68,San Antonio,16,0
14.26,22,entertainment,39,New York,22,0
22.35,1,gas,25,San Jose,18,0
20.69,8,gas,31,Dallas,20,0
5.72,18,entertainment,62,Houston,15,0
47.24,1,electronics,55,San Diego,15,0
45.3,18,travel,49,New York,23,0
33.32,1,utilities,79,Phoenix,16,0
24.99,14,groceries,84,Chicago,9,0
6.06,23,dining,78,Houston,16,1
19.99,20,travel,30,Houston,13,0
21.95,2,dining,64,San Diego,19,0
12.65,4,travel,71,San Jose,22,0
27.29,10,groceries,88,San Jose,22,0
53.78,23,utilities,69,Chicago,13,0
318.44,6,groceries,89,New York,8,0
40.83,5,utilities,42,Phoenix,13,0
45.11,13,dining,40,Los Angeles,15,0
30.29,0,electronics,47,Philadelphia,18,0
3.31,16,utilities,28,Houston,12,0
32.08,16,travel,52,Dallas,12,0
35.6,13,electronics,44,San Antonio,14,0
636.44,9,dining,84,Los Angeles,12,0
26.29,7,entertainment,64,San Antonio,10,0
47.55,7,electronics,67,San Jose,13,0
31.76,13,utilities,25,San Diego,16,0
8.15,6,electronics,72,Chicago,8,0
130.5,5,dining,59,Chicago,21,0
81.64,3,electronics,84,Los Angeles,14,0
85.56,0,dining,37,New York,18,0
11.12,14,entertainment,62,Chicago,16,0
178.28,14,utilities,52,San Jose,13,0
6.16,0,gas,37,San Antonio,16,0
66.97,19,travel,41,Dallas,12,1
458.77,2,electronics,74,Dallas,12,0
10.09,22,gas,72,Philadelphia,8,1
16.78,4,groceries,26,Philadelphia,9,0
37.32,4,travel,33,Phoenix,18,0
18.1,3,electronics,72,Los Angeles,20,0
5.15,16,travel,89,San Antonio,13,0
35.96,20,gas,75,New York,8,0
9.26,19,groceries,81,Philadelphia,14,0
58.46,13,travel,66,Houston,15,0
10.99,7,gas,46,Chicago,10,0
212.71,1,travel,24,New York,14,0
12.94,7,groceries,86,Philadelphia,21,0
22.5,0,groceries,19,San Antonio,13,0
87.9,3,groceries,50,New York,12,0
7.56,18,entertainment,65,New York,20,0
43.51,4,dining,54,San Antonio,21,0
158.95,4,dining,47,Philadelphia,12,0
4.81,20,gas,58,San Antonio,14,0
41.33,19,groceries,21,San Diego,14,0
45.23,23,gas,56,San Diego,18,0
84.62,18,dining,41,Dallas,20,0
7.51,11,travel,67,Dallas,11,0
6.79,19,groceries,54,San Antonio,14,0
61.95,0,electronics,70,Dallas,11,0
47.29,6,groceries,42,Philadelphia,8,0
44.73,16,groceries,48,Dallas,15,0
50.19,1,dining,55,Los Angeles,14,0
14.64,10,gas,75,Los Angeles,10,0
43.76,6,utilities,70,Philadelphia,13,0
47.07,16,travel,67,Chicago,16,0
14.05,2,dining,21,Los Angeles,22,0
310.73,21,gas,69,San Diego,13,0
58.48,5,gas,48,San Antonio,14,0
7.93,21,travel,31,San Diego,14,0
72.81,10,gas,18,Philadelphia,19,0
10.28,17,electronics,60,Dallas,16,0
85.16,17,entertainment,76,Dallas,14,0
133.0,21,utilities,78,Los Angeles,15,0
12.37,9,electronics,58,San Jose,9,0
105.22,4,electronics,35,Phoenix,10,0
54.34,22,travel,77,Dallas,17,0
88.81,22,utilities,86,Chicago,25,0
322.52,20,travel,76,Phoenix,17,0
24.67,23,entertainment,59,San Diego,10,0
13.4,21,gas,53,Los Angeles,22,0
11.39,14,travel,57,Philadelphia,15,0
12.44,20,groceries,47,Houston,18,0
30.19,19,travel,28,Philadelphia,9,0
49.87,22,gas,42,Chicago,12,0
46.16,3,groceries,62,Philadelphia,13,0
89.36,20,electronics,68,San Antonio,7,0
33.64,20,entertainment,60,San Jose,9,0
189.47,0,gas,83,Chicago,14,0
24.1,14,dining,64,Phoenix,12,0
866.28,16,groceries,41,San Diego,11,0
70.16,18,entertainment,54,Los Angeles,11,0
11.84,13,travel,73,San Antonio,19,0
9.16,18,dining,63,New York,17,0
59.08,17,travel,45,San Antonio,6,0
25.33,1,gas,69,New York,16,0
78.01,5,electronics,32,Houston,17,0
58.43,12,gas,62,Houston,11,0
30.34,16,gas,75,Phoenix,13,0
11.99,5,gas,84,Los Angeles,25,0
5.38,20,travel,90,Philadelphia,14,0
19.38,21,groceries,89,Philadelphia,15,0
92.54,4,electronics,90,San Diego,13,0
42.82,6,entertainment,58,San Jose,15,0
7.43,0,electronics,82,New York,16,0
40.76,12,entertainment,57,Houston,10,0
52.58,18,utilities,22,Los Angeles,13,0
11.47,21,groceries,45,San Diego,15,0
39.82,0,groceries,55,Houston,16,0
35.51,12,entertainment,35,San Diego,12,0
8.4,10,travel,54,Los Angeles,11,0
50.87,6,dining,44,Houston,15,0
64.91,19,travel,42,Dallas,12,0
121.47,2,utilities,86,Phoenix,15,0
117.28,0,entertainment,44,Philadelphia,15,0
6.34,7,utilities,71,San Jose,11,0
10.75,16,entertainment,24,Dallas,9,0
61.44,12,utilities,44,Dallas,13,0
61.35,13,entertainment,76,San Antonio,8,0
61.44,4,groceries,89,Los Angeles,7,0
3372.06,23,utilities,48,San Antonio,11,0
65.7,21,utilities,85,Dallas,26,0
129.37,22,entertainment,21,Los Angeles,13,0
104.04,23,electronics,35,San Antonio,20,0
72.36,5,electronics,80,San Antonio,17,0
22.68,21,groceries,69,Chicago,24,0
82.33,5,travel,80,Philadelphia,15,0
13.1,20,travel,62,San Diego,8,0
24.92,7,groceries,29,San Jose,18,0
18.5,12,travel,25,San Diego,9,0
36.53,17,dining,39,Chicago,21,0
532.5,22,dining,58,Philadelphia,17,0
3.52,3,dining,58,Los Angeles,11,0
75.45,16,gas,74,Los Angeles,22,0
4.78,4,gas,49,San Diego,13,0
18.8,2,dining,72,San Jose,12,0
122.33,3,entertainment,23,Phoenix,16,0
35.77,22,electronics,56,Phoenix,17,0
9.09,4,groceries,26,Houston,18,0
14.04,13,entertainment,49,San Jose,6,0
74.85,14,dining,53,Houston,21,0
13.78,19,groceries,33,San Diego,17,0
42.94,16,electronics,29,Chicago,19,0
34.98,5,travel,58,Chicago,13,0
15.15,9,entertainment,84,San Diego,13,0
433.86,21,electronics,75,Chicago,10,0
70.86,22,groceries,26,Los Angeles,14,0
2.91,15,utilities,34,Phoenix,13,0
41.42,16,entertainment,22,Chicago,19,0
14.97,13,gas,43,Philadelphia,16,0
92.1,19,groceries,18,San Antonio,14,0
12.79,11,groceries,18,Chicago,10,0
28.86,8,gas,52,Dallas,17,0
60.7,14,electronics,26,San Jose,11,0
93.59,11,groceries,55,New York,16,0
7.84,13,entertainment,21,San Antonio,12,0
22.17,21,dining,69,Houston,16,0
18.73,17,gas,36,San Antonio,8,0
15.12,19,entertainment,22,Dallas,14,0
275.49,5,gas,65,Dallas,16,0
53.84,3,groceries,80,New York,8,0
7.29,22,electronics,55,San Jose,16,0
99.63,11,entertainment,69,Houston,17,0
422.67,12,utilities,63,San Antonio,21,0
114.32,18,dining,26,San Jose,23,0
5.35,21,gas,67,Philadelphia,20,0
18.52,12,travel,83,Dallas,15,0
151.46,11,electronics,55,San Antonio,11,0
14.17,19,electronics,44,Chicago,18,0
56.41,2,travel,37,San Antonio,16,0
83.89,2,travel,79,San Jose,16,0
10.89,13,entertainment,33,Phoenix,10,0
30.83,17,groceries,30,Los Angeles,16,0
0.68,18,groceries,37,San Jose,10,0
9.69,9,utilities,41,Chicago,14,0
24.46,16,dining,67,Philadelphia,17,0
7.41,14,gas,24,Philadelphia,19,0
234.84,18,groceries,46,San Antonio,13,0
5.95,8,utilities,22,Philadelphia,14,0
19.53,3,utilities,52,Dallas,8,0
38.74,14,electronics,82,Phoenix,18,1
186.7,18,electronics,87,Phoenix,19,0
5.91,15,dining,24,San Diego,15,0
133.73,7,entertainment,61,San Diego,13,0
33.52,16,travel,89,New York,22,0
10.2,20,travel,30,Chicago,10,0
57.66,0,dining,55,Philadelphia,14,0
42.05,6,utilities,30,Philadelphia,17,0
16.11,20,dining,71,New York,14,0
36.01,17,travel,61,Los Angeles,15,0
20.86,11,utilities,30,San Jose,15,0
37.95,15,travel,42,San Antonio,15,0
73.3,0,entertainment,41,New York,11,0
222.12,14,electronics,46,San Jose,16,0
7.5,6,electronics,87,Phoenix,12,0
428.22,16,utilities,35,New York,18,0
3.18,2,dining,22,Philadelphia,16,0
27.6,10,travel,35,San Antonio,16,0
67.09,5,groceries,80,San Diego,15,0
46.39,5,entertainment,54,Chicago,17,0
15.69,14,travel,88,Chicago,13,0
25.8,6,gas,72,New York,18,1
18.33,10,groceries,90,Chicago,12,0
16.33,16,entertainment,29,Phoenix,14,0
91.79,22,entertainment,69,Philadelphia,17,0
50.83,17,electronics,74,Chicago,14,0
14.42,21,utilities,63,Houston,10,0
97.47,23,travel,61,Phoenix,15,0
47.88,20,entertainment,41,Phoenix,14,1
87.83,18,travel,26,Dallas,19,0
70.5,7,entertainment,29,San Diego,21,0
12.25,23,dining,26,New York,21,0
16.91,19,electronics,39,Los Angeles,12,0
81.19,7,utilities,34,Phoenix,15,0
68.89,20,groceries,50,Chicago,13,0
32.3,10,groceries,64,San Antonio,14,0
38.12,20,dining,32,Philadelphia,18,0
153.42,2,gas,50,Los Angeles,22,0
16.28,22,electronics,32,San Diego,16,0
63.85,13,entertainment,44,Phoenix,11,0
25.98,8,electronics,78,Philadelphia,12,0
25.5,0,utilities,85,San Diego,16,0
123.78,0,groceries,65,Philadelphia,16,0
89.17,11,travel,25,San Jose,15,0
87.9,10,groceries,23,Chicago,15,0
158.63,20,gas,80,San Antonio,15,0
33.96,0,gas,19,Houston,13,0
75.06,19,gas,39,Philadelphia,12,0
22.82,11,gas,38,Philadelphia,16,0
48.86,16,utilities,23,Phoenix,9,0
28.33,14,entertainment,87,New York,21,0
37.2,1,electronics,30,San Diego,10,0
67.64,17,groceries,18,San Jose,15,0
12.41,15,gas,39,Los Angeles,16,0
407.84,3,groceries,41,Houston,16,0
9.9,7,gas,81,Chicago,18,0
7.71,1,travel,58,Philadelphia,14,0
132.92,13,electronics,39,New York,12,0
85.63,14,travel,78,Dallas,18,0
70.03,8,travel,29,Phoenix,17,0
70.39,1,gas,21,Phoenix,16,0
32.63,16,entertainment,29,Houston,8,0
11.28,9,groceries,50,Houston,14,0
36.27,8,dining,38,New York,10,0
14.69,1,electronics,90,Dallas,12,0
106.71,23,entertainment,89,Dallas,11,0
27.76,18,dining,89,Houston,9,0
12.3,16,entertainment,69,San Jose,19,0
22.52,10,gas,64,San Jose,19,0
54.35,16,gas,76,Houston,14,0
16.84,9,entertainment,64,San Antonio,13,0
12.35,17,utilities,73,Houston,16,0
44.36,22,utilities,30,New York,7,0
44.43,5,entertainment,61,Dallas,18,0
18.02,15,utilities,52,Los Angeles,16,0
18.82,17,electronics,46,Phoenix,23,0
43.75,19,groceries,73,Houston,15,0
5.83,17,dining,22,San Diego,17,0
6.12,0,gas,84,Philadelphia,18,0
13.98,2,electronics,70,San Antonio,19,0
25.63,14,groceries,77,Los Angeles,18,0
48.09,19,utilities,23,Houston,16,0
194.5,9,dining,65,Houston,9,0
92.68,20,electronics,52,Los Angeles,15,0
27.33,4,travel,35,San Jose,10,0
32.37,14,gas,28,Houston,12,0
9.94,22,entertainment,68,Dallas,19,0
32.39,13,gas,40,San Diego,10,0
23.42,14,groceries,64,New York,13,0
48.78,9,groceries,76,San Diego,18,0
12.27,23,travel,74,Dallas,10,0
61.76,8,travel,73,San Diego,15,0
208.36,11,entertainment,44,San Jose,12,0
29.06,6,utilities,90,New York,13,0
53.63,4,gas,52,San Diego,13,0
75.81,23,electronics,72,Phoenix,15,0
20.46,9,electronics,26,Dallas,20,0
43.33,7,electronics,35,Dallas,10,0
33.62,21,utilities,61,Philadelphia,16,0
37.23,19,gas,38,Chicago,16,1
13.1,15,gas,73,San Antonio,12,0
34.1,11,entertainment,65,Chicago,12,0
60.2,8,electronics,18,San Antonio,14,0
188.93,9,groceries,44,San Diego,12,0
104.7,15,groceries,62,Phoenix,13,0
438.7,9,groceries,80,Phoenix,19,0
13.19,8,travel,75,Houston,17,0
94.33,2,travel,57,Chicago,11,0
41.26,18,utilities,80,San Diego,15,0
458.41,10,electronics,55,Philadelphia,16,0
12.55,5,travel,46,Philadelphia,9,0
12.09,5,groceries,57,Los Angeles,10,0
16.13,14,travel,36,Houston,16,0
2.59,14,gas,73,Phoenix,14,0
17.62,12,groceries,61,San Jose,17,0
13.32,21,electronics,82,Phoenix,15,0
39.67,4,gas,30,Chicago,15,0
49.9,13,utilities,47,San Jose,20,0
314.63,20,entertainment,66,Phoenix,18,0
103.6,1,entertainment,80,Phoenix,18,0
16.57,22,gas,88,Los Angeles,15,0
11.27,11,groceries,52,Phoenix,21,0
59.76,19,travel,28,Chicago,19,0
6.79,13,travel,66,Chicago,17,0
298.2,18,groceries,57,Phoenix,13,0
136.36,23,electronics,38,Dallas,17,1
18.86,19,gas,64,Los Angeles,11,0
4.24,14,groceries,20,Dallas,18,0
168.11,19,electronics,47,Chicago,15,0
28.86,23,utilities,84,San Antonio,14,0
146.26,16,utilities,79,New York,14,0
4.89,13,gas,54,New York,13,0
16.13,22,groceries,39,San Diego,17,0
33.32,17,utilities,48,Dallas,10,0
35.04,21,travel,63,Chicago,15,0
19.3,23,electronics,62,Philadelphia,13,0
69.92,4,entertainment,31,Chicago,11,0
9.2,21,entertainment,29,Philadelphia,14,0
27.91,11,utilities,80,San Antonio,13,0
38.26,9,electronics,55,Phoenix,15,0
61.39,7,travel,64,Chicago,13,0
77.78,5,entertainment,71,San Diego,20,0
8.59,14,travel,72,Phoenix,19,0
5.25,11,travel,65,New York,10,0
153.43,5,entertainment,90,Dallas,21,0
49.34,11,entertainment,89,Chicago,10,0
13.49,14,utilities,32,Los Angeles,10,0
213.02,11,gas,88,Chicago,18,0
38.05,8,electronics,33,San Antonio,15,0
136.34,18,groceries,60,San Jose,13,0
35.91,20,electronics,24,San Diego,15,0
392.64,1,groceries,60,Los Angeles,20,0
272.17,12,entertainment,45,San Antonio,17,0
24.56,12,travel,83,Phoenix,17,0
106.26,7,electronics,77,Dallas,12,0
71.84,12,travel,20,San Antonio,12,0
171.12,3,electronics,18,New York,12,0
10.4,5,gas,48,New York,11,0
75.43,5,dining,73,Philadelphia,21,1
117.93,20,electronics,63,Dallas,12,0
4.01,11,travel,49,New York,19,0
8.01,11,dining,35,Chicago,11,0
2.87,16,utilities,85,Phoenix,14,0
23.97,6,gas,52,Houston,12,0
78.34,14,entertainment,40,New York,9,0
200.9,23,utilities,30,San Jose,11,0
36.19,16,utilities,31,Houston,15,0
233.77,9,electronics,54,Houston,13,0
6.32,22,entertainment,22,San Jose,15,0
4.29,19,gas,39,Houston,17,0
30.98,5,dining,45,Chicago,15,0
52.5,8,electronics,21,San Antonio,19,0
31.84,14,groceries,67,New York,14,0
2.77,15,electronics,46,Los Angeles,11,0
29.76,20,dining,54,New York,13,0
6.92,7,travel,52,Houston,14,0
73.97,15,gas,37,Phoenix,17,0
51.41,4,gas,52,San Jose,17,0
10.72,17,electronics,19,Phoenix,17,0
17.87,19,groceries,75,Los Angeles,19,0
9.29,13,electronics,35,Chicago,11,0
30.72,1,dining,73,Houston,21,0
104.19,22,gas,81,San Jose,12,0
10.15,22,groceries,69,Philadelphia,12,0
60.63,2,entertainment,39,Philadelphia,22,0
17.53,13,dining,77,Los Angeles,14,0
12.79,6,gas,27,Los Angeles,15,0
29.12,14,electronics,23,Dallas,18,0
9.56,16,gas,23,Los Angeles,17,0
17.04,0,groceries,45,Los Angeles,9,0
7.87,8,dining,59,Chicago,11,0
349.91,21,entertainment,58,Dallas,11,0
34.55,13,travel,80,Philadelphia,9,0
14.3,15,utilities,39,Philadelphia,16,0
42.81,20,groceries,46,San Jose,12,0
28.94,12,travel,88,Phoenix,21,0
25.4,5,entertainment,51,San Antonio,21,0
69.2,21,travel,19,Houston,11,0
82.19,0,electronics,43,San Jose,22,0
17.52,20,utilities,36,San Jose,11,0
16.59,3,groceries,37,Chicago,12,0
23.81,2,dining,50,San Antonio,13,0
2.09,16,gas,21,San Jose,15,0
5.38,1,entertainment,49,New York,13,0
170.76,18,utilities,36,Philadelphia,17,0
238.4,19,entertainment,20,Los Angeles,8,0
24.56,22,gas,78,Los Angeles,16,0
66.15,21,travel,55,San Diego,13,0
48.11,7,entertainment,23,Chicago,24,0
1332.29,14,entertainment,73,Dallas,14,0
126.91,5,travel,57,Houston,14,0
28.4,22,travel,86,Philadelphia,10,0
10.52,19,gas,59,New York,15,1
4.82,1,utilities,19,San Jose,15,0
42.27,14,groceries,45,San Jose,10,0
13.36,19,travel,34,Chicago,19,0
6.01,11,utilities,87,Houston,16,0
15.24,2,gas,86,Phoenix,12,0
9.04,9,entertainment,56,New York,16,0
250.78,13,entertainment,24,Houston,7,0
95.39,21,dining,49,Phoenix,17,0
32.8,13,electronics,21,Houston,10,0
195.57,2,travel,38,San Jose,15,0
36.34,0,gas,49,San Jose,13,0
11.78,19,utilities,31,San Antonio,10,0
205.97,0,dining,87,San Diego,17,0
63.22,1,utilities,63,San Diego,12,0
9.54,18,groceries,37,Chicago,18,0
26.35,23,dining,75,Phoenix,10,0
11.58,9,gas,65,San Jose,19,0
6.3,3,utilities,24,San Diego,13,0
100.63,3,travel,57,San Antonio,14,0
327.44,12,utilities,76,Dallas,13,0
6.18,8,electronics,53,San Jose,18,0
65.08,6,entertainment,61,San Antonio,16,0
15.17,15,entertainment,48,Los Angeles,17,0
18.46,17,dining,59,Houston,17,0
16.27,2,utilities,61,San Diego,16,0
11.74,19,utilities,60,Dallas,14,0
35.1,19,utilities,60,San Antonio,17,0
12.22,9,utilities,64,Phoenix,16,0
45.81,23,electronics,23,New York,11,1
31.18,21,travel,83,Dallas,14,0
24.86,15,electronics,26,Philadelphia,18,0
11.14,2,gas,28,Los Angeles,13,0
16.57,10,gas,35,San Jose,11,0
81.98,9,electronics,42,San Jose,16,0
60.41,15,electronics,75,Los Angeles,7,0
10.25,7,entertainment,47,San Jose,16,0
37.31,8,gas,18,New York,14,1
81.59,14,electronics,80,Houston,16,0
4.47,20,utilities,46,San Jose,14,0
63.56,2,electronics,83,Los Angeles,10,0
14.95,3,utilities,70,San Jose,19,0
65.68,12,dining,36,Dallas,16,0
13.25,11,gas,83,Los Angeles,13,0
3.8,20,travel,69,Dallas,14,0
4.7,8,entertainment,48,New York,10,0
35.08,13,travel,77,San Antonio,21,0
45.23,18,dining,85,Philadelphia,14,0
11.19,6,travel,47,Philadelphia,21,0
71.26,15,entertainment,30,Los Angeles,20,0
4.51,21,utilities,32,New York,12,0
30.59,19,dining,37,San Jose,17,0
7.74,4,dining,51,San Diego,19,0
15.15,9,utilities,37,San Diego,14,0
35.05,17,utilities,67,Los Angeles,12,0
11.79,10,entertainment,44,Houston,14,0
20.87,6,gas,47,Houston,16,0
110.78,13,electronics,73,Los Angeles,17,0
16.57,19,gas,82,Dallas,16,0
90.27,17,groceries,72,Houston,16,0
8.54,10,electronics,41,Houston,19,0
62.54,21,gas,42,Houston,20,0
186.77,11,electronics,70,Phoenix,14,0
1.71,17,travel,28,San Jose,19,0
12.73,1,groceries,77,San Diego,11,0
66.19,22,utilities,64,Houston,10,0
25.95,0,electronics,42,Chicago,20,0
51.7,22,gas,42,New York,14,0
16.04,9,entertainment,34,Los Angeles,12,0
36.74,20,electronics,29,Houston,15,0
27.47,0,utilities,69,Dallas,15,0
134.47,5,gas,28,New York,13,0
44.94,6,electronics,27,Philadelphia,25,0
49.66,16,dining,77,Philadelphia,11,0
20.2,8,travel,71,San Jose,11,0
18.45,6,travel,80,Chicago,17,0
19.71,16,electronics,37,San Jose,12,0
53.16,2,travel,22,Dallas,15,0
19.98,15,entertainment,58,San Jose,15,0
46.89,4,groceries,80,Chicago,13,0
399.61,19,electronics,73,New York,12,0
94.19,17,entertainment,49,Los Angeles,13,0
22.39,0,dining,44,Houston,14,0
139.97,3,entertainment,85,Houston,20,0
20.29,22,entertainment,65,Los Angeles,14,0
2.87,10,dining,24,San Jose,12,0
9.88,19,utilities,63,Philadelphia,16,0
3.51,8,electronics,35,Philadelphia,24,0
21.72,7,electronics,55,Chicago,20,0
33.86,7,electronics,82,New York,12,0
247.58,4,groceries,34,San Jose,12,0
49.02,11,entertainment,55,Dallas,12,0
25.46,0,electronics,80,Houston,14,0
89.59,14,travel,59,Dallas,21,0
2.33,17,utilities,25,Phoenix,11,0
43.94,5,dining,47,San Antonio,20,0
83.52,9,dining,81,Chicago,15,0
5.62,13,groceries,26,Chicago,18,0
130.65,20,gas,74,San Diego,13,0
49.71,7,dining,76,New York,20,0
20.12,2,utilities,84,San Diego,18,0
70.76,21,gas,22,San Diego,17,0
505.14,21,entertainment,21,Chicago,13,0
41.19,18,dining,25,New York,20,0
44.61,11,gas,59,Dallas,15,0
19.08,11,gas,52,Houston,15,0
11.94,14,dining,30,San Antonio,17,0
89.69,6,travel,22,Dallas,15,0
11.85,3,entertainment,57,Chicago,10,0
36.09,20,electronics,36,Phoenix,14,0
18.67,8,utilities,21,San Jose,16,0
58.84,21,dining,76,Chicago,20,0
49.42,15,travel,35,Phoenix,12,0
115.01,12,utilities,41,Los Angeles,13,0
17.96,3,gas,48,Houston,11,0
23.95,23,groceries,75,Los Angeles,15,0
10.23,8,travel,45,Chicago,8,0
19.43,20,gas,26,Phoenix,21,1
52.08,17,groceries,62,Dallas,13,0
82.14,14,dining,66,Chicago,22,0
10.95,14,travel,19,San Jose,10,0
94.02,5,electronics,23,Philadelphia,17,0
168.47,10,gas,46,Houston,9,0
54.39,7,utilities,43,Houston,8,0
314.87,20,utilities,45,San Jose,13,0
13.08,16,gas,24,San Jose,15,0
7.44,23,gas,51,Phoenix,14,0
3.92,16,entertainment,73,San Antonio,20,0
199.39,23,travel,27,Houston,10,0
72.62,17,travel,74,San Diego,11,0
30.98,3,gas,64,Dallas,20,0
46.34,14,groceries,44,Dallas,14,0
8.58,1,travel,56,Dallas,11,0
623.22,1,utilities,39,Los Angeles,15,1
38.67,9,travel,36,Chicago,27,0
37.76,2,entertainment,26,Phoenix,15,0
79.12,7,entertainment,36,New York,13,0
58.98,19,gas,19,Houston,10,0
43.32,6,utilities,78,Phoenix,20,0
12.83,11,utilities,76,Dallas,11,0
58.31,18,utilities,87,San Diego,28,0
316.85,14,travel,88,New York,11,0
166.42,13,travel,87,Chicago,15,0
224.04,15,electronics,50,Chicago,12,0
17.93,13,dining,82,Philadelphia,15,0
10.1,2,gas,42,Houston,17,0
28.48,17,dining,87,Houston,15,0
35.41,21,groceries,45,New York,12,0
123.1,5,travel,35,San Jose,16,0
4.35,16,electronics,80,Houston,12,0
207.57,22,electronics,66,New York,14,0
27.4,13,entertainment,83,Phoenix,11,0
19.84,13,travel,57,Chicago,13,0
9.83,19,electronics,83,San Jose,10,0
4.55,12,entertainment,21,Phoenix,15,0
88.93,2,groceries,51,Chicago,13,0
36.16,12,entertainment,22,Phoenix,13,1
7.04,23,groceries,39,Houston,13,0
7.0,1,dining,37,Dallas,13,0
22.13,8,dining,64,Philadelphia,16,0
245.38,12,utilities,51,San Jose,20,0
24.25,7,utilities,61,Los Angeles,17,0
5.45,15,gas,23,New York,8,0
24.66,23,entertainment,73,New York,17,0
23.87,2,gas,46,New York,16,0
1.3,12,utilities,70,Dallas,11,0
31.03,3,travel,18,Phoenix,21,0
25.1,17,entertainment,76,Houston,11,0
76.36,1,electronics,65,San Jose,6,0
304.52,19,travel,24,Phoenix,14,0
127.98,21,gas,49,Dallas,21,0
23.98,20,entertainment,78,Chicago,17,0
8.78,14,gas,74,Chicago,10,0
726.35,16,dining,68,Los Angeles,13,0
35.55,9,groceries,36,San Diego,16,0
33.67,0,gas,44,San Antonio,10,0
32.17,5,utilities,80,Los Angeles,10,0
42.0,2,utilities,77,Houston,7,0
27.85,18,utilities,78,San Antonio,19,0
16.64,6,entertainment,78,New York,18,0
17.18,12,travel,62,New York,15,0
31.84,12,groceries,38,San Diego,20,0
17.25,16,utilities,61,Philadelphia,17,0
14.08,0,travel,18,Los Angeles,11,0
